Category,Item,Required at launch?,Budgeted Cost (£),Actual Cost (£),Paid?,Notes
Programme,Programme fee,Yes,2500,,No,"Replace with 5000 or 10000 for higher tier"
Company Setup,Company formation,Yes,19,,No,"Kydos ANNA route, check current price and referral"
Company Setup,Registered office service,Depends,0,,No,"Enter cost if not using own permitted address"
Banking,Business bank setup,Yes,0,,No,"Provider-dependent"
Accounting,Accountant initial/month-one cost,Yes,0,,No,"Contact Kydos for current referral pricing"
Accounting,FreeAgent,Yes,0,,No,"May be included with qualifying NatWest business current account"
Brand,Logo and basic brand identity,Yes,0,,No,"Included in higher programme tiers"
Domain,Domain registration,Yes,20,,No,"Estimate only, check live GoDaddy price"
Email,Business email,Yes,0,,No,"Enter current GoDaddy or Microsoft 365 plan"
Website,5-page website,Yes,300,,No,"Blueprint programme-student indicative add-on, included in £5k/£10k tiers"
CRM,CRM subscription/provider plan,Yes,0,,No,"Kydos does not add a programme licence fee, use current referral route"
Payments,Stripe setup,Yes,0,,No,"Transaction fees apply after launch"
Recruitment,Account Manager recruitment/onboarding,Yes,0,,No,"Contact Kydos for current costs"
Recruitment,Creative recruitment/onboarding,Yes,0,,No,"Contact Kydos for current costs"
Sales,Sales closer recruitment/onboarding,Yes,0,,No,"Commission model applies"
Operations,Operations Manager recruitment,No,0,,No,"Recommended for hands-off model, included in Done For You scope"
Software,Creative software starter stack,Yes,0,,No,"CapCut/Adobe/Canva/Freepik/Envato depending team"
Compliance,ICO data protection fee,Depends,52,,No,"Use ICO assessment, current Tier 1 fee before direct-debit discount"
Insurance,Professional indemnity and other cover,Yes,0,,No,"Get quote"
Advertising,Initial Meta Ads budget,Yes,300,,No,"Separate from programme fee"
Cash Reserve,First-month operating reserve,Recommended,0,,No,"Enter staff/software buffer"
TOTAL,,,"=SUM(D2:D22)","=SUM(E2:E22)",,
