Area,Blueprint £2500,Build With Us £5000,Done For You £10000,Notes
Programme Guides,Yes,Yes,Yes,Core library
Templates,Yes,Yes,Yes,Subject to Template Use Licence
Calculators,Yes,Yes,Yes,
Worked Examples,Yes,Yes,Yes,
WhatsApp Support,8 weeks,12 weeks,"Build + 90 days post-handover",
Company Setup Guidance,Yes,Yes,Yes,
Company Setup Implementation,No,Support/Guided,Coordinated,"Third-party approvals not guaranteed"
Brand Templates,Yes,Yes,Yes,
Brand Creation,No,Yes,Yes,
5-Page Website,No,Yes,Yes,"Blueprint add-on may be offered separately"
CRM Setup Guide,Yes,Yes,Yes,
CRM Configuration,No,Yes,Yes,
Stripe/Calendar/Pipeline Configuration,No,Yes,Yes,
Recruitment Templates,Yes,Yes,Yes,
Account Manager Recruitment,No,Support,Yes,
Creative Recruitment,No,Support,Yes,
Sales Closer Setup,No,Support,Yes,
Operations Manager Recruitment,No,No,Yes,
Staff Training,Self-led,Guided,Yes,
Meta Launch Guide,Yes,Yes,Yes,
Initial Meta Campaign Setup,No,Support,Yes,
Operations Setup,Self-led,Guided,Yes,
Formal Handover,No,No,Yes,
Optional Business Readiness Module,Yes,Yes,Yes,"Information only, no immigration guarantee"
